date,StartPoint,Gyeonggi,Chungcheong,Jeolla,Gyeongsang,Gangwon
20140818,경상,7962.0,5740.0,11083.0,330624.0,1093.0
20140818,전라,3973.0,5092.0,107898.0,10896.0,690.0
20140818,충청,88155.0,142812.0,4056.0,4358.0,6404.0
20140819,강원,47012.0,5799.0,528.0,1135.0,75376.0
20140819,경기,577667.0,90179.0,3233.0,6620.0,45672.0
20140819,경상,7293.0,4605.0,11481.0,371863.0,1154.0
20140819,전라,3042.0,3965.0,111551.0,11037.0,540.0
20140819,충청,87788.0,144596.0,4327.0,4937.0,6163.0
20140820,강원,49399.0,5926.0,521.0,1098.0,77729.0
20140820,경기,608393.0,94545.0,3238.0,6972.0,49789.0
20140820,경상,7466.0,4763.0,11303.0,365303.0,1206.0
20140820,전라,3169.0,4087.0,114911.0,10915.0,611.0
20140820,충청,93279.0,151778.0,4365.0,5135.0,6397.0
20140821,강원,42362.0,5363.0,615.0,1120.0,70440.0
20140821,경기,534200.0,83199.0,3407.0,7005.0,41367.0
20140821,경상,7034.0,4480.0,11583.0,367160.0,1125.0
20140821,전라,3006.0,3898.0,114388.0,11112.0,577.0
20140821,충청,83264.0,143096.0,4293.0,5016.0,5926.0
20140822,강원,52651.0,6212.0,651.0,1379.0,88947.0
20140822,경기,629267.0,105025.0,4814.0,8564.0,64331.0
20140822,경상,8996.0,5953.0,14956.0,424955.0,1455.0
20140822,전라,3713.0,5091.0,135510.0,13658.0,788.0
20140822,충청,105575.0,167089.0,6090.0,6565.0,7903.0
20140823,강원,63637.0,6169.0,680.0,1375.0,110574.0
20140823,경기,555945.0,118366.0,7258.0,10029.0,82334.0
20140823,경상,8401.0,6344.0,18002.0,454508.0,1754.0
20140823,전라,4410.0,6030.0,162977.0,15688.0,691.0
20140823,충청,110114.0,168165.0,7037.0,6930.0,8648.0
20140824,강원,69158.0,6674.0,749.0,1581.0,112075.0
20140824,경기,469378.0,102435.0,3916.0,6682.0,58199.0
20140824,경상,7707.0,6591.0,14157.0,416768.0,1731.0
20140824,전라,5592.0,7804.0,137336.0,16581.0,537.0
20140824,충청,103362.0,148484.0,5039.0,5028.0,6334.0
20140825,강원,49330.0,5520.0,537.0,909.0,74188.0
20140825,경기,588404.0,98894.0,3067.0,5829.0,50116.0
20140825,경상,6504.0,4204.0,10294.0,334072.0,955.0
20140825,전라,3417.0,4175.0,105363.0,10314.0,539.0
20140825,충청,92341.0,143080.0,3975.0,4162.0,6196.0
20140826,강원,46712.0,5684.0,508.0,1110.0,74784.0
20140826,경기,607408.0,96345.0,3229.0,6937.0,46967.0
20140826,경상,7270.0,4792.0,11885.0,389111.0,1077.0
20140826,전라,2990.0,4074.0,120720.0,11133.0,498.0
20140826,충청,93515.0,155534.0,4513.0,5214.0,6188.0
20140827,강원,47897.0,5670.0,575.0,1024.0,77902.0
20140827,경기,616941.0,94652.0,3310.0,7172.0,49320.0
20140827,경상,7531.0,4993.0,12090.0,399792.0,1075.0
20140827,전라,3209.0,4270.0,123456.0,11877.0,547.0
20140827,충청,95772.0,158443.0,4631.0,5361.0,6363.0
20140828,강원,48347.0,5791.0,548.0,1153.0,80003.0
20140828,경기,620418.0,98199.0,3235.0,7074.0,50162.0
20140828,경상,7842.0,5168.0,12157.0,403161.0,1232.0
20140828,전라,3201.0,4398.0,121393.0,11665.0,499.0
20140828,충청,97232.0,161280.0,4538.0,5557.0,6554.0
20140829,강원,54100.0,6582.0,639.0,1329.0,87427.0
20140829,경기,636504.0,105583.0,4145.0,8143.0,61249.0
20140829,경상,9095.0,5993.0,14213.0,421865.0,1337.0
20140829,전라,3819.0,5152.0,131215.0,13191.0,627.0
20140829,충청,107151.0,170847.0,5840.0,6295.0,7491.0
20140830,강원,64553.0,6349.0,645.0,1246.0,106770.0
20140830,경기,571702.0,118513.0,6911.0,8799.0,78427.0
20140830,경상,7882.0,5997.0,17064.0,445173.0,1527.0
20140830,전라,4396.0,6195.0,160844.0,14752.0,587.0
20140830,충청,107013.0,176643.0,7133.0,6458.0,8001.0
20140831,강원,70262.0,6630.0,651.0,1311.0,95904.0
20140831,경기,468219.0,104464.0,3642.0,5936.0,55653.0
20140831,경상,7555.0,6094.0,13613.0,403821.0,1086.0
20140831,전라,5892.0,6639.0,142242.0,14999.0,495.0
20140831,충청,103294.0,145247.0,5245.0,4771.0,5921.0
20140901,강원,48144.0,5355.0,471.0,947.0,73913.0
20140901,경기,608823.0,104900.0,2939.0,5773.0,49957.0
20140901,경상,6298.0,4463.0,11319.0,399980.0,980.0
20140901,전라,3237.0,4123.0,125261.0,10961.0,482.0
20140901,충청,95026.0,158931.0,4091.0,4615.0,6157.0
20140902,강원,46068.0,5534.0,508.0,1074.0,74682.0
20140902,경기,626359.0,96737.0,3004.0,6423.0,46318.0
20140902,경상,7336.0,4834.0,11307.0,406483.0,1111.0
20140902,전라,3076.0,3915.0,120655.0,10668.0,447.0
20140902,충청,96992.0,161093.0,4325.0,5193.0,5954.0
20140903,강원,39106.0,4919.0,511.0,961.0,63736.0
20140903,경기,576250.0,85987.0,2828.0,6002.0,37525.0
20140903,경상,6859.0,4301.0,10242.0,373615.0,966.0
20140903,전라,2803.0,3624.0,110993.0,9685.0,443.0
20140903,충청,86955.0,148898.0,3953.0,4915.0,5401.0
20140904,강원,44852.0,5278.0,530.0,1019.0,70321.0
20140904,경기,638968.0,97790.0,3659.0,6471.0,45068.0
20140904,경상,7250.0,4699.0,11262.0,410319.0,943.0
20140904,전라,2862.0,3700.0,125533.0,10825.0,435.0
20140904,충청,96812.0,164178.0,4419.0,5049.0,5838.0
20140905,강원,47173.0,5377.0,917.0,1626.0,79692.0
20140905,경기,592711.0,93706.0,11550.0,12562.0,56546.0
20140905,경상,9495.0,5749.0,15339.0,420879.0,1367.0
20140905,전라,3588.0,4126.0,140086.0,12671.0,604.0
20140905,충청,94734.0,160257.0,8571.0,7872.0,6649.0
20140906,강원,34129.0,3297.0,1085.0,1615.0,83355.0
20140906,경기,384586.0,84001.0,29464.0,22532.0,74660.0
20140906,경상,9116.0,5257.0,21224.0,352132.0,2039.0
20140906,전라,3792.0,3589.0,171959.0,12071.0,781.0
20140906,충청,66705.0,110806.0,12569.0,10734.0,7028.0
20140907,강원,37094.0,3133.0,679.0,1291.0,84446.0
20140907,경기,347893.0,91582.0,19406.0,15827.0,69277.0
20140907,경상,7146.0,4936.0,19860.0,324670.0,1797.0
20140907,전라,4467.0,4025.0,162638.0,11254.0,734.0
20140907,충청,70198.0,96767.0,8628.0,7280.0,6468.0
20140908,강원,75664.0,6986.0,798.0,2133.0,163533.0
20140908,경기,503746.0,111836.0,10082.0,9638.0,79965.0
20140908,경상,7629.0,11386.0,25379.0,502095.0,2265.0
20140908,전라,7396.0,13908.0,279760.0,25301.0,693.0
20140908,충청,112173.0,174912.0,9795.0,9709.0,7368.0
20140909,강원,84804.0,7105.0,816.0,2236.0,128462.0
20140909,경기,418244.0,81312.0,4286.0,8257.0,47602.0
20140909,경상,19518.0,14664.0,17834.0,388872.0,2231.0
20140909,전라,22910.0,17217.0,204237.0,28894.0,847.0
20140909,충청,106883.0,126566.0,5005.0,5942.0,4130.0
20140910,강원,70928.0,6269.0,718.0,1648.0,82299.0
20140910,경기,414844.0,75690.0,3450.0,7873.0,41680.0
20140910,경상,18668.0,9054.0,14432.0,325654.0,1441.0
20140910,전라,19747.0,10798.0,140471.0,19115.0,1043.0
20140910,충청,92856.0,114605.0,4062.0,4561.0,4894.0
20140911,강원,43821.0,5190.0,487.0,1013.0,69251.0
20140911,경기,567009.0,93870.0,2775.0,6357.0,46178.0
20140911,경상,6907.0,4132.0,10873.0,382116.0,980.0
20140911,전라,4218.0,4227.0,115241.0,11410.0,683.0
20140911,충청,85674.0,144477.0,3675.0,4523.0,5997.0
20140912,강원,47490.0,5762.0,559.0,1208.0,77722.0
20140912,경기,613793.0,97579.0,3388.0,6806.0,51400.0
20140912,경상,7745.0,5217.0,12129.0,404062.0,1252.0
20140912,전라,3325.0,4349.0,122442.0,11567.0,568.0
20140912,충청,98563.0,157081.0,4917.0,5377.0,6598.0
20140913,강원,53635.0,5687.0,478.0,1062.0,88903.0
20140913,경기,537484.0,106113.0,3864.0,6823.0,65814.0
20140913,경상,6712.0,4638.0,13798.0,395954.0,1196.0
20140913,전라,3178.0,4569.0,134476.0,12785.0,567.0
20140913,충청,101054.0,149369.0,5022.0,5122.0,7219.0
20140914,강원,59164.0,5667.0,510.0,993.0,80003.0
20140914,경기,418074.0,86407.0,2734.0,4981.0,45244.0
20140914,경상,6000.0,4097.0,12139.0,331952.0,811.0
20140914,전라,3459.0,4490.0,118559.0,12622.0,442.0
20140914,충청,91303.0,119757.0,4029.0,3296.0,5316.0
20140915,강원,43949.0,5595.0,494.0,897.0,71876.0
20140915,경기,596536.0,101652.0,2916.0,6024.0,48093.0
20140915,경상,5925.0,4222.0,11383.0,393072.0,1007.0
20140915,전라,2685.0,3890.0,119809.0,10892.0,517.0
20140915,충청,90488.0,153125.0,4001.0,4546.0,6218.0
20140916,강원,44725.0,5537.0,525.0,1148.0,73023.0
20140916,경기,611014.0,94390.0,3025.0,6792.0,46035.0
20140916,경상,7198.0,4879.0,11505.0,397582.0,1215.0
20140916,전라,2687.0,4019.0,118891.0,10899.0,516.0
20140916,충청,92850.0,155842.0,4412.0,5321.0,6249.0
20140917,강원,44953.0,5473.0,494.0,1110.0,71496.0
20140917,경기,615453.0,94120.0,2873.0,6521.0,45823.0
20140917,경상,7108.0,4745.0,11409.0,394598.0,1055.0
20140917,전라,2813.0,3959.0,119297.0,10986.0,504.0
20140917,충청,93449.0,156073.0,4192.0,5237.0,6106.0
20140918,강원,46022.0,5666.0,538.0,1131.0,73031.0
20140918,경기,615845.0,94812.0,2961.0,6731.0,46064.0
20140918,경상,7278.0,5047.0,11660.0,398436.0,1105.0
20140918,전라,2863.0,4216.0,121127.0,11305.0,547.0
20140918,충청,94903.0,157631.0,4441.0,5462.0,6210.0
20140919,강원,51409.0,6331.0,595.0,1229.0,82207.0
20140919,경기,634954.0,104778.0,3889.0,7593.0,57099.0
20140919,경상,8628.0,5875.0,13488.0,419480.0,1294.0
20140919,전라,3506.0,4978.0,134007.0,13036.0,634.0
20140919,충청,105992.0,168796.0,5731.0,6425.0,7350.0
20140920,강원,58716.0,6227.0,524.0,1162.0,97919.0
20140920,경기,564026.0,116555.0,4759.0,7904.0,71851.0
20140920,경상,7276.0,5287.0,16422.0,429797.0,1325.0
20140920,전라,3549.0,5466.0,154278.0,15204.0,632.0
20140920,충청,109165.0,165189.0,6262.0,6013.0,8105.0
20140921,강원,61826.0,6279.0,642.0,1206.0,85732.0
20140921,경기,446160.0,95012.0,3244.0,5940.0,49197.0
20140921,경상,7219.0,5209.0,14717.0,381360.0,926.0
20140921,전라,4010.0,5715.0,136347.0,15500.0,474.0
20140921,충청,100276.0,132460.0,4629.0,4174.0,5745.0
20140922,강원,46148.0,5784.0,496.0,897.0,73449.0
20140922,경기,603120.0,107105.0,3074.0,6050.0,49805.0
20140922,경상,6393.0,4662.0,11796.0,391618.0,1017.0
20140922,전라,2860.0,4352.0,123139.0,11454.0,552.0
20140922,충청,93471.0,158688.0,4367.0,4842.0,6422.0
20140923,강원,45440.0,5501.0,492.0,1080.0,74432.0
20140923,경기,608611.0,94601.0,2725.0,6415.0,46362.0
20140923,경상,7149.0,4856.0,11279.0,392452.0,1054.0
20140923,전라,2728.0,3935.0,115887.0,10905.0,529.0
20140923,충청,92718.0,156262.0,4223.0,5141.0,6052.0
20140924,강원,37215.0,4659.0,395.0,927.0,61689.0
20140924,경기,564876.0,83450.0,2546.0,6164.0,37286.0
20140924,경상,6374.0,4245.0,9350.0,336267.0,945.0
20140924,전라,2341.0,3631.0,102024.0,9284.0,494.0
20140924,충청,83823.0,140447.0,3817.0,4677.0,5206.0
20140925,강원,45698.0,5515.0,551.0,1117.0,73430.0
20140925,경기,621791.0,97848.0,2919.0,6754.0,48177.0
20140925,경상,6923.0,4926.0,11667.0,398282.0,1157.0
20140925,전라,2701.0,4085.0,122003.0,10976.0,550.0
20140925,충청,94767.0,159771.0,4377.0,5421.0,6319.0
20140926,강원,52495.0,6498.0,623.0,1298.0,83840.0
20140926,경기,635167.0,105402.0,3968.0,7886.0,57408.0
20140926,경상,8814.0,6015.0,14069.0,422319.0,1345.0
20140926,전라,3532.0,5065.0,136531.0,13274.0,705.0
20140926,충청,106619.0,170769.0,5836.0,6446.0,7345.0
20140927,강원,59193.0,6348.0,632.0,1168.0,98407.0
20140927,경기,562231.0,119236.0,5021.0,8161.0,72439.0
20140927,경상,7979.0,5520.0,16863.0,427323.0,1368.0
20140927,전라,3724.0,5621.0,156909.0,15235.0,684.0
20140927,충청,111382.0,164446.0,6440.0,6085.0,8120.0
20140928,강원,62565.0,6105.0,616.0,1236.0,87994.0
20140928,경기,448068.0,94770.0,3234.0,6097.0,49062.0
20140928,경상,7171.0,5344.0,14982.0,378183.0,903.0
20140928,전라,3991.0,5665.0,141978.0,16199.0,474.0
20140928,충청,101759.0,134905.0,4599.0,4305.0,5661.0
20140929,강원,43557.0,5387.0,459.0,925.0,69151.0
20140929,경기,572507.0,98748.0,2905.0,6024.0,43631.0
20140929,경상,6211.0,4320.0,11626.0,398587.0,970.0
20140929,전라,2802.0,4044.0,118260.0,11201.0,526.0
20140929,충청,89061.0,148087.0,4189.0,4546.0,5975.0
20140930,강원,45138.0,5684.0,477.0,1092.0,69373.0
20140930,경기,614009.0,94395.0,2901.0,6587.0,43837.0
20140930,경상,6494.0,4743.0,11066.0,393513.0,1673.0
20140930,전라,2700.0,4168.0,117484.0,10726.0,477.0
20140930,충청,92097.0,155416.0,4238.0,5121.0,5896.0
20141001,강원,43930.0,5543.0,523.0,1085.0,72050.0
20141001,경기,616806.0,95310.0,2906.0,6745.0,45604.0
20141001,경상,6906.0,4622.0,11657.0,370609.0,1004.0
20141001,전라,2666.0,3838.0,118064.0,11254.0,494.0
20141001,충청,93677.0,157111.0,4251.0,5328.0,6168.0
20141002,강원,49903.0,6115.0,631.0,1318.0,81552.0
20141002,경기,626180.0,108261.0,4452.0,8786.0,59560.0
20141002,경상,9236.0,5818.0,14554.0,401912.0,1410.0
20141002,전라,3616.0,5011.0,135859.0,13892.0,752.0
20141002,충청,107378.0,169321.0,5806.0,6763.0,7627.0
20141003,강원,58208.0,5961.0,856.0,2049.0,124071.0
