"AGE","SEX","SCHL","WORK","INCOME","XGRP"
47,"여","학사","자영업",70000,2
34,"남","전문학사","기업",40000,5
36,"여","전문학사","비영리단체",39000,4
28,"여","전문학사","기업",38500,5
27,"남","전문학사","기업",42000,4
26,"남","학사","기업",52520,6
26,"여","학사","기업",45000,2
39,"여","고졸","기업",42900,10
22,"남","전문학사","기업",80000,1
39,"남","고졸","공무원",47300,4
43,"남","중졸이하","기업",60000,10
48,"남","중졸이하","기업",43000,7
28,"남","석사","기업",60010,1
31,"남","고졸","기업",39900,5
37,"여","전문학사","비영리단체",41600,5
38,"남","전문학사","기업",52000,6
37,"남","전문학사","기업",60000,5
35,"여","학사","기업",40000,7
37,"여","고졸","기업",40000,2
35,"여","석사","기업",19000,10
50,"남","박사","비영리단체",92000,6
47,"여","석사","기업",83000,6
48,"남","고졸","비영리단체",32000,2
20,"남","고졸","기업",20000,8
24,"여","학사","기업",40000,5
20,"남","전문학사","기업",15000,8
50,"남","학사","기업",50000,1
48,"여","고졸","기업",34500,9
29,"여","전문학사","기업",56000,3
45,"여","중졸이하","기업",38000,3
41,"여","석사","공무원",63000,7
26,"남","전문학사","기업",50000,10
25,"여","학사","기업",56000,1
28,"남","석사","기업",60000,4
38,"남","학사","자영업",30200,5
32,"남","고졸","기업",60000,5
35,"남","고졸","기업",40000,8
31,"여","중졸이하","기업",24600,10
23,"남","중졸이하","기업",20000,7
34,"남","전문학사","기업",75000,10
28,"남","고졸","기업",18600,8
38,"남","석사","공무원",79000,2
34,"여","석사","공무원",74000,2
27,"여","석사","비영리단체",57110,2
25,"여","학사","공무원",33000,5
34,"여","고졸","자영업",16000,1
41,"여","고졸","비영리단체",52000,3
50,"여","고졸","기업",30000,6
24,"남","중졸이하","기업",17000,5
49,"남","고졸","기업",56000,6
30,"남","학사","기업",39500,9
25,"남","학사","기업",27000,7
50,"여","고졸","기업",21000,4
43,"여","학사","기업",45000,8
32,"남","전문학사","기업",33600,2
39,"여","학사","자영업",6000,3
40,"남","고졸","기업",50000,6
25,"여","고졸","기업",25000,2
32,"남","중졸이하","기업",24000,9
41,"남","석사","기업",108000,9
49,"남","학사","기업",8250000,5
45,"여","학사","비영리단체",40000,8
29,"남","전문학사","기업",46000,3
32,"남","학사","기업",29800,1
40,"남","학사","기업",60060,5
37,"남","고졸","기업",1e+05,5
38,"여","고졸","기업",33300,4
31,"남","전문학사","비영리단체",59000,2
50,"남","고졸","기업",23100,6
27,"남","학사","공무원",44000,1
27,"여","학사","비영리단체",18000,8
39,"여","전문학사","비영리단체",45000,6
36,"남","전문학사","기업",41000,7
48,"여","고졸","기업",23000,5
40,"남","학사","비영리단체",52000,3
35,"남","중졸이하","기업",45000,5
35,"남","고졸","기업",16000,8
38,"여","고졸","공무원",29000,6
42,"남","고졸","기업",33500,4
44,"남","고졸","자영업",25000,9
45,"남","학사","기업",64100,4
25,"남","학사","공무원",60000,6
50,"남","전문학사","기업",47000,5
50,"여","전문학사","기업",41200,3
39,"남","전문학사","기업",140000,6
38,"여","학사","기업",60000,3
44,"남","고졸","자영업",25000,6
42,"여","고졸","비영리단체",20300,5
48,"남","전문학사","비영리단체",58000,2
40,"여","전문학사","공무원",74000,7
35,"여","전문학사","기업",39500,6
37,"남","중졸이하","공무원",33000,2
-128,"남","고졸","기업",NA,6
40,"남","학사","자영업",11000,5
35,"남","전문학사","자영업",10000,5
35,"남","전문학사","기업",39000,9
46,"남","고졸","자영업",20001,8
41,"여","고졸","자영업",12000,5
33,"남","석사","기업",50000,6
42,"여","고졸","기업",20100,3
30,"남","학사","기업",10000,1
29,"여","전문학사","기업",35700,4
40,"남","석사","공무원",67000,1
38,"여","전문학사","기업",26000,9
48,"남","석사","공무원",27000,10
44,"여","석사","공무원",51000,8
48,"여","전문학사","기업",45000,9
50,"남","학사","기업",92000,9
37,"남","고졸","기업",15000,6
40,"남","학사","기업",78200,6
29,"남","고졸","기업",40000,3
33,"남","중졸이하","기업",25000,7
29,"남","중졸이하","기업",12000,3
33,"여","중졸이하","자영업",14400,3
39,"남","중졸이하","자영업",26000,8
40,"여","중졸이하","기업",24000,8
22,"남","고졸","공무원",28000,2
38,"남","석사","공무원",47020,4
35,"여","석사","비영리단체",NA,4
45,"여","고졸","기업",20000,1
50,"여","전문학사","기업",28000,8
50,"여","전문학사","기업",52000,6
30,"여","중졸이하","기업",20000,2
34,"남","고졸","기업",33000,10
46,"여","학사","비영리단체",47000,6
43,"남","전문학사","기업",36000,8
35,"남","고졸","기업",24000,9
28,"남","중졸이하","기업",22000,9
32,"여","학사","비영리단체",18200,9
40,"남","고졸","기업",27000,7
43,"남","학사","기업",103000,7
45,"남","학사","자영업",30000,3
39,"여","석사","기업",80000,1
31,"남","학사","기업",99800,5
43,"여","고졸","기업",15000,4
48,"남","중졸이하","기업",42000,4
48,"남","학사","기업",50000,2
42,"여","석사","공무원",43000,4
44,"남","전문학사","기업",30000,5
30,"남","고졸","기업",21000,8
41,"남","고졸","공무원",70000,3
43,"여","고졸","기업",21700,2
46,"남","고졸","비영리단체",12000,1
23,"남","고졸","기업",40000,9
24,"남","고졸","기업",30000,5
42,"남","고졸","기업",20000,9
39,"여","고졸","기업",40000,1
50,"여","전문학사","기업",80500,2
22,"여","전문학사","기업",7900,2
46,"남","전문학사","공무원",58000,8
43,"여","고졸","기업",22800,8
44,"남","전문학사","공무원",85000,10
50,"남","전문학사","자영업",217000,7
41,"남","전문학사","기업",76000,3
34,"여","전문학사","비영리단체",35000,2
20,"남","중졸이하","기업",9000,9
40,"여","전문학사","공무원",35000,8
37,"남","고졸","기업",13000,3
50,"남","고졸","기업",80400,8
32,"남","학사","기업",53000,9
49,"남","학사","공무원",94000,6
25,"남","전문학사","기업",43000,6
45,"남","고졸","기업",7000,10
43,"여","전문학사","기업",18000,10
45,"남","고졸","자영업",11000,7
33,"여","고졸","기업",38800,1
47,"여","고졸","기업",15000,9
46,"남","전문학사","자영업",30000,5
36,"남","석사","기업",24000,4
36,"여","학사","공무원",26000,3
41,"남","전문학사","기업",70000,3
44,"남","전문학사","공무원",35000,5
34,"여","고졸","기업",12000,10
49,"남","전문학사","공무원",40000,3
50,"남","중졸이하","기업",27000,6
45,"여","중졸이하","공무원",30000,3
43,"남","석사","공무원",103000,2
46,"여","전문학사","기업",38000,8
39,"여","고졸","기업",65000,4
34,"남","고졸","기업",40000,2
26,"남","고졸","기업",20000,1
47,"여","전문학사","비영리단체",38600,10
44,"남","고졸","비영리단체",24000,6
27,"남","전문학사","기업",27000,2
30,"남","중졸이하","기업",6000,6
46,"여","전문학사","비영리단체",28400,6
32,"남","석사","기업",220000,9
48,"여","석사","기업",105300,8
46,"남","석사","기업",87190,6
50,"남","전문학사","기업",46000,8
24,"여","학사","기업",10000,8
25,"남","전문학사","기업",30000,4
35,"남","석사","비영리단체",68000,3
42,"여","학사","기업",25000,6
45,"남","고졸","기업",17700,3
45,"여","고졸","기업",32000,9
49,"여","전문학사","기업",28900,5
42,"남","전문학사","기업",35000,1
47,"남","전문학사","공무원",53000,10
45,"여","전문학사","기업",25000,3
46,"남","전문학사","기업",55000,5
48,"여","고졸","기업",45000,7
50,"남","전문학사","기업",50000,7
30,"남","고졸","비영리단체",25000,4
36,"남","고졸","기업",48000,2
39,"남","고졸","기업",40000,10
41,"남","학사","기업",45000,6
50,"여","고졸","기업",27400,8
43,"남","고졸","기업",65000,10
49,"여","고졸","기업",52000,6
43,"남","학사","기업",11450000,4
48,"남","전문학사","기업",36000,1
41,"남","고졸","기업",50000,9
40,"여","고졸","기업",37400,6
49,"남","학사","자영업",48000,3
27,"남","고졸","공무원",20000,4
27,"남","학사","기업",91500,3
20,"남","전문학사","기업",16500,5
39,"남","고졸","공무원",80000,3
47,"남","학사","자영업",105100,2
21,"여","전문학사","기업",5000,1
39,"남","고졸","기업",35000,7
22,"남","중졸이하","기업",13300,3
33,"여","전문학사","기업",29800,2
50,"여","고졸","비영리단체",27600,10
36,"남","고졸","기업",28000,5
39,"남","고졸","기업",68000,5
23,"남","고졸","기업",21100,7
48,"남","석사","기업",91000,10
47,"여","전문학사","기업",52000,3
47,"여","석사","기업",61800,6
36,"남","고졸","기업",65000,8
31,"여","전문학사","기업",25000,4
30,"남","전문학사","기업",20800,1
47,"남","전문학사","기업",108130,7
43,"남","중졸이하","기업",75000,1
39,"여","학사","기업",29000,3
21,"남","중졸이하","기업",15000,7
35,"남","학사","기업",85000,9
28,"여","고졸","기업",23200,8
44,"남","학사","기업",85200,2
26,"여","학사","기업",16800,4
32,"여","전문학사","공무원",11040,8
48,"남","전문학사","기업",38050,7
32,"남","전문학사","기업",60000,6
30,"여","학사","비영리단체",25000,2
42,"남","전문학사","공무원",62000,6
35,"여","고졸","비영리단체",28000,5
46,"남","학사","기업",83000,8
49,"여","전문학사","자영업",32000,1
24,"남","전문학사","기업",12000,2
33,"남","전문학사","기업",54000,9
24,"여","석사","공무원",40000,2
37,"남","전문학사","기업",60000,10
35,"여","학사","공무원",57000,4
35,"남","전문학사","기업",63000,9
37,"남","학사","기업",90000,9
-64,"여","학사","자영업",15000,5
50,"남","고졸","공무원",48000,8
29,"여","고졸","기업",9600,5
25,"여","학사","공무원",20000,10
39,"남","학사","기업",70000,1
34,"남","전문학사","기업",44700,2
36,"여","학사","기업",92050,8
37,"남","학사","기업",50010,6
36,"남","학사","자영업",15750,5
30,"여","학사","공무원",33000,10
33,"남","고졸","기업",40000,3
37,"남","전문학사","기업",30000,6
40,"남","고졸","기업",40000,1
40,"남","중졸이하","기업",71500,9
50,"남","학사","공무원",36000,4
48,"여","고졸","기업",39000,9
46,"여","전문학사","기업",24000,2
47,"남","고졸","공무원",45000,10
33,"남","석사","기업",115000,4
30,"여","석사","기업",50000,6
43,"남","전문학사","기업",51000,2
43,"여","전문학사","기업",28000,9
36,"남","전문학사","기업",70000,10
48,"남","전문학사","기업",80000,1
45,"여","고졸","기업",14000,5
42,"남","고졸","기업",63500,3
41,"남","전문학사","기업",40000,9
44,"여","고졸","기업",12000,6
34,"여","고졸","기업",19200,1
40,"남","학사","기업",80500,3
35,"여","석사","기업",42000,4
50,"남","고졸","기업",70000,6
40,"남","고졸","기업",56000,3
43,"남","고졸","기업",25400,1
24,"남","고졸","기업",58000,2
38,"남","전문학사","기업",43000,8
36,"여","석사","비영리단체",39000,10
48,"남","고졸","자영업",70000,4
50,"남","고졸","비영리단체",65000,1
42,"여","전문학사","기업",65000,4
45,"남","고졸","기업",25000,7
21,"남","전문학사","기업",22000,5
30,"남","고졸","공무원",14000,9
33,"남","중졸이하","기업",65000,3
41,"남","학사","기업",1e+05,6
47,"남","전문학사","자영업",25200,1
34,"남","고졸","자영업",85000,2
40,"여","고졸","기업",57500,8
44,"남","고졸","기업",32000,9
20,"남","고졸","기업",28000,6
35,"남","학사","공무원",62000,6
31,"여","전문학사","기업",24000,1
35,"여","전문학사","비영리단체",17100,2
33,"남","고졸","자영업",30000,9
27,"여","석사","공무원",52000,1
43,"여","고졸","기업",103000,3
37,"남","중졸이하","기업",12900,10
48,"여","학사","자영업",18940,6
30,"남","고졸","비영리단체",25000,3
50,"남","고졸","기업",31000,7
49,"여","학사","기업",37500,1
21,"남","전문학사","기업",4000,2
40,"남","전문학사","기업",60000,8
40,"여","고졸","기업",40000,1
38,"여","전문학사","기업",19200,7
47,"여","전문학사","공무원",60000,10
26,"여","전문학사","기업",36000,1
26,"남","전문학사","자영업",70000,10
35,"남","전문학사","기업",105000,1
34,"여","학사","비영리단체",40000,8
38,"여","학사","기업",90000,5
38,"남","석사","기업",108000,6
43,"남","고졸","자영업",120000,9
47,"여","중졸이하","기업",15000,6
30,"남","중졸이하","기업",7630,8
47,"남","고졸","기업",85000,7
45,"여","석사","기업",70000,4
46,"남","석사","자영업",50000,4
38,"남","학사","기업",65000,3
32,"여","전문학사","기업",33000,9
47,"남","전문학사","기업",82030,7
24,"여","전문학사","기업",30000,8
47,"남","학사","기업",120000,6
43,"남","고졸","공무원",75000,3
40,"여","전문학사","기업",43000,8
36,"여","석사","공무원",66000,6
36,"남","고졸","자영업",125200,4
43,"여","고졸","기업",37000,6
47,"남","석사","자영업",80000,9
29,"남","학사","자영업",39300,6
28,"여","학사","비영리단체",31600,3
47,"여","중졸이하","비영리단체",30000,9
23,"여","고졸","기업",32000,4
44,"여","전문학사","기업",20000,4
40,"남","학사","기업",30000,8
NA,"남","전문학사","공무원",50000,8
40,"여","전문학사","기업",80000,9
29,"여","학사","기업",13000,6
36,"남","학사","기업",45000,1
33,"남","학사","기업",56100,5
40,"남","중졸이하","기업",45000,6
44,"남","고졸","기업",58000,9
34,"남","학사","기업",92000,8
45,"남","고졸","기업",32500,6
23,"남","학사","기업",20000,1
23,"여","학사","기업",27000,2
22,"남","전문학사","기업",3000,7
26,"남","학사","공무원",39600,1
48,"여","석사","기업",42010,3
38,"남","전문학사","기업",27800,4
48,"남","전문학사","기업",22000,9
46,"여","고졸","비영리단체",30000,3
25,"여","전문학사","기업",30000,8
50,"여","고졸","기업",37000,2
47,"여","학사","기업",1e+05,8
39,"남","전문학사","기업",70000,3
