"AGE","SEX","SCHL","WORK","INCOME","XGRP"
47,"여","전문학사","기업",36000,1
33,"남","학사","자영업",150000,5
47,"남","고졸","기업",23900,4
45,"남","고졸","자영업",250000,4
24,"여","학사","기업",18000,4
30,"남","고졸","기업",19000,7
28,"남","전문학사","기업",11200,3
27,"여","학사","기업",15000,4
28,"여","고졸","비영리단체",24000,10
26,"남","고졸","기업",60000,8
49,"남","전문학사","자영업",38700,4
50,"남","고졸","기업",31200,9
48,"여","전문학사","공무원",25300,3
48,"남","학사","기업",38000,6
28,"남","학사","기업",110030,2
34,"남","전문학사","기업",8400,2
40,"여","전문학사","기업",38000,9
46,"여","고졸","기업",31000,1
23,"남","고졸","기업",9800,9
42,"남","석사","기업",70800,3
43,"여","학사","공무원",45000,1
40,"남","중졸이하","기업",24000,8
33,"여","고졸","기업",17800,4
43,"여","고졸","기업",45000,1
39,"여","전문학사","기업",27000,8
36,"남","전문학사","공무원",10000,1
34,"여","전문학사","기업",45000,5
37,"여","학사","기업",40000,3
46,"여","전문학사","공무원",32000,5
40,"여","학사","공무원",54000,7
48,"남","전문학사","기업",50000,1
37,"남","석사","기업",93000,2
28,"여","전문학사","기업",24000,2
33,"남","전문학사","기업",21000,9
38,"남","전문학사","기업",43600,7
32,"여","전문학사","기업",25000,7
34,"남","학사","기업",59000,4
32,"여","석사","공무원",44500,5
42,"남","전문학사","비영리단체",44000,4
48,"여","중졸이하","기업",4400,8
34,"여","학사","공무원",33500,9
39,"여","학사","비영리단체",35000,7
24,"남","고졸","기업",10000,6
29,"남","전문학사","기업",35000,4
45,"여","학사","기업",105000,1
45,"남","고졸","기업",25000,6
42,"남","고졸","비영리단체",7200,2
28,"남","석사","비영리단체",30000,8
32,"남","학사","기업",37900,3
45,"여","고졸","기업",24000,7
41,"여","고졸","기업",38000,2
49,"남","학사","공무원",87000,3
40,"남","고졸","기업",15000,9
32,"여","학사","기업",64000,9
34,"남","고졸","기업",46000,1
28,"여","석사","비영리단체",56000,9
40,"여","전문학사","기업",24000,2
28,"여","학사","기업",56000,7
31,"남","학사","기업",65000,5
33,"여","전문학사","공무원",37000,6
48,"남","고졸","기업",65000,8
28,"여","학사","공무원",35000,5
37,"남","고졸","기업",15000,10
29,"남","중졸이하","기업",17000,10
33,"남","학사","공무원",125000,4
38,"남","전문학사","기업",68000,7
33,"남","학사","기업",41300,4
40,"남","중졸이하","자영업",8000,5
47,"여","석사","공무원",86800,3
47,"남","박사","기업",172000,1
46,"남","고졸","기업",47200,1
42,"여","전문학사","자영업",45000,1
45,"여","학사","기업",70000,8
28,"여","학사","공무원",88000,5
42,"남","전문학사","기업",60000,9
40,"여","전문학사","공무원",51950,6
29,"남","석사","기업",65200,2
46,"남","고졸","기업",57000,7
47,"여","전문학사","기업",40000,9
47,"남","고졸","기업",40000,8
40,"남","학사","기업",38000,6
27,"남","전문학사","기업",59000,5
50,"남","석사","기업",75000,7
28,"여","석사","공무원",34000,9
28,"남","석사","기업",50000,9
37,"남","고졸","비영리단체",30000,2
49,"여","고졸","기업",50000,3
47,"남","고졸","공무원",32000,2
39,"남","중졸이하","기업",18500,8
46,"여","전문학사","공무원",26000,2
29,"여","학사","비영리단체",52400,9
47,"남","고졸","기업",85000,8
34,"여","고졸","기업",19200,10
45,"여","고졸","기업",18900,5
39,"남","전문학사","기업",65000,10
44,"남","전문학사","기업",109000,8
40,"여","전문학사","기업",30400,9
36,"남","고졸","기업",30000,4
33,"여","고졸","기업",25000,1
50,"여","고졸","비영리단체",37390,3
27,"남","학사","기업",40000,8
47,"남","고졸","기업",34000,4
31,"여","고졸","기업",22720,4
49,"남","전문학사","기업",58000,1
27,"여","학사","기업",72300,6
27,"남","학사","비영리단체",29000,2
29,"남","전문학사","기업",31000,9
45,"남","고졸","기업",36000,1
47,"여","고졸","기업",30000,8
36,"남","고졸","기업",32000,9
39,"남","학사","기업",107570,1
41,"남","학사","기업",50000,3
43,"남","석사","기업",75000,7
30,"남","전문학사","기업",24000,8
30,"여","중졸이하","기업",31000,5
30,"남","석사","기업",22000,10
27,"여","학사","기업",4800,4
40,"남","고졸","기업",8200,5
35,"남","박사","기업",140000,3
30,"남","학사","비영리단체",25000,7
27,"남","석사","비영리단체",34200,6
48,"남","고졸","자영업",50000,1
43,"남","전문학사","기업",1e+05,8
42,"여","석사","공무원",50000,3
37,"남","고졸","기업",28000,7
22,"남","전문학사","비영리단체",54300,6
22,"여","고졸","기업",57000,7
49,"여","전문학사","기업",21000,7
37,"남","전문학사","자영업",26000,3
50,"남","학사","기업",46500,3
49,"남","고졸","기업",48900,6
28,"여","석사","비영리단체",50000,10
38,"남","학사","기업",96000,4
24,"남","고졸","기업",15000,4
20,"여","전문학사","기업",20000,1
27,"남","학사","기업",58000,6
41,"여","고졸","비영리단체",24000,6
41,"여","석사","기업",22000,8
50,"남","고졸","기업",58000,10
45,"남","전문학사","기업",40600,5
42,"남","학사","기업",80000,1
30,"남","고졸","기업",26000,3
46,"남","학사","공무원",1e+05,9
49,"남","고졸","자영업",65000,9
50,"여","고졸","비영리단체",13004,9
44,"남","고졸","기업",35000,10
30,"여","학사","기업",26000,7
44,"여","고졸","기업",5900,5
45,"남","전문학사","기업",17800,2
29,"남","학사","기업",80000,8
28,"여","학사","기업",50000,1
48,"남","고졸","기업",45000,5
27,"여","학사","기업",42000,10
44,"남","고졸","기업",75000,9
39,"남","석사","기업",50000,8
43,"여","전문학사","공무원",19710,2
42,"남","고졸","공무원",39610,6
50,"여","전문학사","비영리단체",37500,10
50,"남","고졸","비영리단체",20400,7
43,"남","중졸이하","기업",16800,3
39,"남","석사","기업",55000,1
38,"남","중졸이하","기업",42000,1
33,"남","중졸이하","자영업",31000,9
48,"여","전문학사","기업",41300,4
34,"남","고졸","공무원",26400,10
30,"여","석사","공무원",44000,6
38,"여","전문학사","기업",52000,6
43,"여","전문학사","기업",31000,10
45,"남","중졸이하","기업",32000,2
49,"남","고졸","기업",40000,9
45,"여","전문학사","비영리단체",35200,4
48,"여","고졸","기업",32000,6
48,"여","전문학사","기업",4800,4
47,"여","전문학사","비영리단체",10000,1
37,"남","학사","공무원",26000,8
26,"여","고졸","기업",12000,2
35,"여","학사","기업",1e+05,7
38,"남","석사","기업",150000,5
35,"남","석사","기업",123000,2
39,"남","전문학사","기업",26800,10
23,"남","고졸","기업",15000,5
39,"남","석사","자영업",130100,1
48,"여","학사","비영리단체",33200,10
48,"여","전문학사","비영리단체",40000,9
50,"남","중졸이하","기업",56900,7
30,"남","학사","기업",40000,3
43,"남","고졸","기업",70000,9
43,"여","석사","기업",33000,10
27,"여","고졸","기업",20000,9
40,"남","전문학사","기업",26000,2
39,"여","학사","비영리단체",40500,10
28,"남","중졸이하","기업",40000,6
28,"남","고졸","기업",33000,1
29,"남","고졸","기업",15000,2
33,"여","전문학사","기업",33700,1
34,"남","전문학사","자영업",64000,9
30,"남","전문학사","기업",64000,8
29,"여","학사","기업",30000,10
50,"남","학사","비영리단체",37000,4
25,"여","고졸","기업",13000,10
44,"남","석사","기업",45000,9
43,"여","고졸","기업",17500,8
42,"여","전문학사","기업",28000,7
26,"남","중졸이하","기업",22000,10
22,"남","중졸이하","기업",17000,5
50,"남","고졸","기업",85000,9
47,"남","전문학사","기업",90000,5
45,"남","전문학사","기업",30000,5
45,"여","고졸","기업",11400,10
22,"남","전문학사","기업",30000,7
33,"남","전문학사","기업",91000,1
24,"여","전문학사","기업",27000,2
26,"남","고졸","기업",29000,5
42,"남","전문학사","기업",75000,5
43,"여","학사","기업",90000,10
24,"여","전문학사","기업",23000,9
