name,year_start,year_end,position,height,weight
Sergei Bazarevich,1995.0,1995.0,G,06-02,168.0
Kent Bazemore,2013.0,2018.0,G-F,06-05,201.0
Ed Beach,1951.0,1951.0,F,06-03,200.0
Bradley Beal,2013.0,2018.0,G,06-05,207.0
Al Beard,1968.0,1968.0,C,06-09,200.0
Butch Beard,1970.0,1979.0,G,06-03,185.0
Ralph Beard,1950.0,1951.0,G,05-10,175.0
Charles Beasley,1968.0,1971.0,G-F,06-05,190.0
Jerome Beasley,2004.0,2004.0,F,06-10,237.0
John Beasley,1968.0,1974.0,F-C,06-09,225.0
Malik Beasley,2017.0,2018.0,G,06-05,196.0
Michael Beasley,2009.0,2018.0,F,06-09,235.0
Zelmo Beaty,1963.0,1975.0,C,06-09,225.0
Rodrigue Beaubois,2010.0,2013.0,G,6-0,170.0
Byron Beck,1968.0,1977.0,C-F,06-09,225.0
Corey Beck,1996.0,1999.0,G,06-01,190.0
Ernie Beck,1954.0,1961.0,G-F,06-04,190.0
Arthur Becker,1968.0,1973.0,F,06-07,205.0
Moe Becker,1947.0,1947.0,G-F,06-01,185.0
Bob Bedell,1968.0,1971.0,F,06-07,205.0
William Bedford,1987.0,1993.0,C,7-0,225.0
Hank Beenders,1947.0,1949.0,C-F,06-06,185.0
Ron Behagen,1974.0,1980.0,F-C,06-09,185.0
Elmer Behnke,1952.0,1952.0,C,06-07,210.0
Marco Belinelli,2008.0,2018.0,G-F,06-05,210.0
Charlie Bell,2002.0,2011.0,G,06-03,200.0
Dennis Bell,1974.0,1976.0,F,06-05,185.0
Jordan Bell,2018.0,2018.0,F,06-09,224.0
Raja Bell,2001.0,2012.0,G,06-05,204.0
Troy Bell,2004.0,2004.0,G,06-01,180.0
Whitey Bell,1960.0,1961.0,G,6-0,180.0
Walt Bellamy,1962.0,1975.0,C,06-11,225.0
DeAndre' Bembry,2017.0,2018.0,F,06-06,210.0
Irv Bemoras,1954.0,1957.0,F-G,06-03,185.0
Leon Benbow,1975.0,1976.0,G,06-04,185.0
Dragan Bender,2017.0,2018.0,F,07-01,225.0
Jonathan Bender,2000.0,2010.0,F,06-11,202.0
Jerrelle Benimon,2015.0,2015.0,F,06-08,245.0
Benoit Benjamin,1986.0,2000.0,C,7-0,250.0
Corey Benjamin,1999.0,2003.0,G,06-06,200.0
Anthony Bennett,2014.0,2017.0,F,06-08,245.0
Elmer Bennett,1995.0,1997.0,G,6-0,170.0
Mario Bennett,1996.0,2000.0,F,06-06,235.0
Mel Bennett,1976.0,1982.0,F,06-07,200.0
Spider Bennett,1969.0,1969.0,G,06-03,190.0
Tony Bennett,1993.0,1995.0,G,6-0,175.0
Winston Bennett,1990.0,1992.0,F,06-07,210.0
David Benoit,1992.0,2001.0,F,06-08,220.0
Keith Benson,2012.0,2012.0,C,06-11,240.0
Kent Benson,1978.0,1988.0,C,06-10,235.0
Ben Bentil,2017.0,2017.0,F,06-09,235.0
Gene Berce,1950.0,1950.0,G-F,05-11,175.0
Gary Bergen,1957.0,1957.0,C,06-08,210.0
Larry Bergh,1970.0,1970.0,F,06-08,210.0
Ricky Berry,1989.0,1989.0,F,06-08,205.0
Walter Berry,1987.0,1989.0,F,06-08,215.0
Davis Bertans,2017.0,2018.0,F,06-10,210.0
Del Beshore,1979.0,1980.0,G,05-11,165.0
Travis Best,1996.0,2005.0,G,05-11,182.0
Patrick Beverley,2013.0,2018.0,G,06-01,185.0
Sim Bhullar,2015.0,2015.0,C,07-05,360.0
Wesley Bialosuknia,1968.0,1968.0,G,06-02,185.0
Al Bianchi,1957.0,1966.0,G,06-03,185.0
Hank Biasatti,1947.0,1947.0,G,05-11,175.0
Henry Bibby,1973.0,1981.0,G,06-01,185.0
Mike Bibby,1999.0,2012.0,G,06-01,190.0
Ed Biedenbach,1969.0,1969.0,G,06-01,175.0
Andris Biedrins,2005.0,2014.0,C,06-11,240.0
Don Bielke,1956.0,1956.0,C,06-07,240.0
Bob Bigelow,1976.0,1979.0,F-G,06-07,215.0
Lionel Billingy,1975.0,1975.0,F-C,06-09,215.0
Chauncey Billups,1998.0,2014.0,G,06-03,202.0
Dave Bing,1967.0,1978.0,G,06-03,180.0
Joe Binion,1987.0,1987.0,F,06-08,235.0
Khem Birch,2018.0,2018.0,C-F,06-09,220.0
Jabari Bird,2018.0,2018.0,G,06-06,197.0
Jerry Bird,1959.0,1959.0,F,06-06,210.0
Larry Bird,1980.0,1992.0,F,06-09,220.0
Otis Birdsong,1978.0,1989.0,G,06-03,190.0
Gale Bishop,1949.0,1949.0,F,06-03,195.0
Bismack Biyombo,2012.0,2018.0,C-F,06-09,255.0
Nemanja Bjelica,2016.0,2018.0,F,06-10,240.0
Uwe Blab,1986.0,1990.0,C,07-01,252.0
Charlie Black,1949.0,1952.0,F-C,06-05,200.0
Norman Black,1981.0,1981.0,G,06-05,185.0
Tarik Black,2015.0,2018.0,C-F,06-09,250.0
Tom Black,1971.0,1971.0,C,06-10,220.0
Rolando Blackman,1982.0,1994.0,G,06-06,190.0
Alex Blackwell,1993.0,1993.0,F,06-06,250.0
Cory Blackwell,1985.0,1985.0,F,06-06,210.0
James Blackwell,1995.0,1995.0,G,6-0,190.0
Nate Blackwell,1988.0,1988.0,G,06-04,170.0
DeJuan Blair,2010.0,2016.0,F-C,06-07,270.0
Steve Blake,2004.0,2016.0,G,06-03,172.0
Antonio Blakeney,2018.0,2018.0,G,06-04,197.0
Will Blalock,2007.0,2007.0,G,6-0,205.0
George Blaney,1962.0,1962.0,G,06-01,175.0
Lance Blanks,1991.0,1993.0,G,06-04,190.0
Ricky Blanton,1993.0,1993.0,F,06-07,215.0
Andray Blatche,2006.0,2014.0,F,06-11,235.0
Mookie Blaylock,1990.0,2002.0,G,6-0,180.0
Eric Bledsoe,2011.0,2018.0,G,06-01,205.0
Leon Blevins,1951.0,1951.0,G,06-02,160.0
John Block,1967.0,1976.0,F-C,06-09,207.0
Mike Bloom,1948.0,1949.0,F-C,06-06,190.0
Corie Blount,1994.0,2004.0,F,06-09,240.0
Mark Blount,2001.0,2009.0,C,7-0,230.0
Vander Blue,2014.0,2018.0,G,06-04,200.0
Ray Blume,1982.0,1982.0,G,06-04,185.0
Nelson Bobb,1950.0,1953.0,G,6-0,170.0
Tony Bobbitt,2005.0,2005.0,G,06-04,190.0
Bucky Bockhorn,1959.0,1965.0,G,06-04,200.0
Tom Boerwinkle,1969.0,1978.0,C,7-0,265.0
Keith Bogans,2004.0,2014.0,G-F,06-05,215.0
Bogdan Bogdanovic,2018.0,2018.0,G,06-06,205.0
Bojan Bogdanovic,2015.0,2018.0,G-F,06-08,216.0
Muggsy Bogues,1988.0,2001.0,G,05-03,136.0
Andrew Bogut,2006.0,2018.0,C,7-0,260.0
Etdrick Bohannon,1998.0,2001.0,F,06-09,220.0
Manute Bol,1986.0,1995.0,C,07-07,200.0
Bill Bolger,1954.0,1954.0,F,06-05,205.0
Joel Bolomboy,2017.0,2018.0,F,06-09,235.0
Doug Bolstorff,1958.0,1958.0,G,06-04,195.0
George Bon Salle,1962.0,1962.0,F,06-08,220.0
Phil Bond,1978.0,1978.0,G,06-02,175.0
Walter Bond,1993.0,1995.0,G,06-05,200.0
Dexter Boney,1997.0,1997.0,G,06-04,185.0
Ron Bonham,1965.0,1968.0,F,06-05,192.0
Anthony Bonner,1991.0,1996.0,F,06-08,215.0
Matt Bonner,2005.0,2016.0,F,06-10,235.0
Butch Booker,1970.0,1970.0,C,06-10,230.0
Devin Booker,2016.0,2018.0,G,06-06,206.0
Melvin Booker,1996.0,1997.0,G,06-01,185.0
Trevor Booker,2011.0,2018.0,F,06-08,228.0
Josh Boone,2007.0,2010.0,F-C,06-10,237.0
Ron Boone,1969.0,1981.0,G-F,06-02,200.0
Calvin Booth,2000.0,2009.0,C,06-11,230.0
Keith Booth,1998.0,1999.0,F,06-06,226.0
Bob Boozer,1961.0,1971.0,F,06-08,215.0
Carlos Boozer,2003.0,2015.0,F-C,06-09,258.0
Curtis Borchardt,2004.0,2005.0,C,7-0,240.0
Jake Bornheimer,1949.0,1950.0,F-C,06-05,200.0
Lazaro Borrell,2000.0,2000.0,F,06-08,220.0
Ike Borsavage,1951.0,1951.0,C-F,06-08,220.0
Vince Boryla,1950.0,1954.0,F,06-05,210.0
Chris Bosh,2004.0,2016.0,F-C,06-11,235.0
Jim Bostic,1978.0,1978.0,F,06-07,225.0
Lawrence Boston,1980.0,1980.0,F,06-08,225.0
Tom Boswell,1976.0,1984.0,F-C,06-09,220.0
Ruben Boumtje-Boumtje,2002.0,2004.0,C,7-0,257.0
Don Boven,1950.0,1953.0,F-G,06-04,210.0
Cal Bowdler,2000.0,2002.0,F,06-10,245.0
Bruce Bowen,1997.0,2009.0,F,06-07,185.0
Ryan Bowen,2000.0,2010.0,F,06-07,215.0
Tommie Bowens,1968.0,1970.0,F-C,06-08,220.0
Anthony Bowie,1989.0,1998.0,G-F,06-06,190.0
Sam Bowie,1985.0,1995.0,C-F,07-01,235.0
Orbie Bowling,1968.0,1968.0,C,06-10,215.0
Ira Bowman,2000.0,2002.0,G,06-05,195.0
Nate Bowman,1967.0,1972.0,C,06-10,230.0
Donnie Boyce,1996.0,1997.0,G,06-05,196.0
Dennis Boyd,1979.0,1979.0,G,06-01,175.0
Freddie Boyd,1973.0,1978.0,G,06-02,180.0
Ken Boyd,1975.0,1975.0,F,06-05,195.0
Earl Boykins,1999.0,2012.0,G,05-05,135.0
Harry Boykoff,1950.0,1951.0,C,06-10,225.0
Winford Boynes,1979.0,1981.0,G-F,06-06,185.0
Cedric Bozeman,2007.0,2007.0,G,06-06,207.0
Steve Bracey,1973.0,1975.0,G,06-01,175.0
Craig Brackins,2011.0,2012.0,F,06-10,230.0
Gary Bradds,1965.0,1971.0,F,06-08,210.0
Alex Bradley,1982.0,1982.0,F,06-06,215.0
Alonzo Bradley,1978.0,1980.0,F,06-06,190.0
Avery Bradley,2011.0,2018.0,G,06-02,180.0
Bill Bradley,1968.0,1968.0,G,05-11,165.0
Charles Bradley,1982.0,1984.0,G,06-05,215.0
Dudley Bradley,1980.0,1989.0,G-F,06-06,195.0
Jim Bradley,1974.0,1976.0,F,06-08,215.0
Joe Bradley,1950.0,1950.0,G,06-03,175.0
Michael Bradley,2002.0,2006.0,F-C,06-10,245.0
Shawn Bradley,1994.0,2005.0,C,07-06,235.0
Tony Bradley,2018.0,2018.0,F-C,06-11,240.0
Mark Bradtke,1997.0,1997.0,C-F,06-10,265.0
Marques Bragg,1996.0,1996.0,F,06-08,230.0
Torraye Braggs,2004.0,2005.0,F,06-08,245.0
A.J. Bramlett,2000.0,2000.0,C,06-10,227.0
Adrian Branch,1987.0,1990.0,F-G,06-07,185.0
Elton Brand,2000.0,2016.0,F,06-08,275.0
Terrell Brandon,1992.0,2002.0,G,05-11,180.0
Bob Brannum,1950.0,1955.0,F-C,06-05,215.0
Brad Branson,1982.0,1983.0,C-F,06-10,220.0
Jesse Branson,1966.0,1968.0,F,06-07,195.0
Jim Brasco,1953.0,1953.0,G,06-01,170.0
Mike Bratz,1978.0,1986.0,G,06-02,185.0
Carl Braun,1948.0,1962.0,G-F,06-05,180.0
Tim Breaux,1995.0,1998.0,F,06-07,215.0
J.R. Bremer,2003.0,2004.0,G,06-02,185.0
Pete Brennan,1959.0,1959.0,F,06-06,205.0
Tom Brennan,1955.0,1955.0,F,06-03,195.0
Randy Breuer,1984.0,1994.0,C,07-03,230.0
Corey Brewer,2008.0,2018.0,F-G,06-09,186.0
Jamison Brewer,2002.0,2005.0,G,06-04,184.0
Jim Brewer,1974.0,1982.0,F-C,06-09,210.0
Ron Brewer,1979.0,1986.0,G,06-04,180.0
Ronnie Brewer,2007.0,2014.0,G-F,06-07,220.0
Primoz Brezec,2002.0,2010.0,C,07-02,252.0
Frankie Brian,1950.0,1956.0,G,06-01,180.0
Frank Brickowski,1985.0,1997.0,F-C,06-09,240.0
Junior Bridgeman,1976.0,1987.0,F-G,06-05,210.0
Bill Bridges,1963.0,1975.0,F-C,06-06,228.0
Al Brightman,1947.0,1947.0,F,06-02,195.0
Aud Brindley,1947.0,1947.0,F,06-04,175.0
John Brisker,1970.0,1975.0,F-G,06-05,210.0
Allan Bristow,1974.0,1983.0,F-G,06-07,210.0
Tyrone Britt,1968.0,1968.0,G,06-04,190.0
Wayman Britt,1978.0,1978.0,G,06-02,185.0
Mike Brittain,1986.0,1987.0,C,7-0,235.0
Dave Britton,1981.0,1981.0,G,06-04,180.0
Jon Brockman,2010.0,2012.0,F,06-07,255.0
Jim Brogan,1982.0,1983.0,G,06-04,185.0
Malcolm Brogdon,2017.0,2018.0,G,06-05,215.0
Gary Brokaw,1975.0,1978.0,G,06-04,178.0
Price Brookfield,1949.0,1950.0,F-G,06-04,185.0
Clarence Brookins,1971.0,1971.0,F,06-04,190.0
Aaron Brooks,2008.0,2018.0,G,6-0,161.0
Dillon Brooks,2018.0,2018.0,G-F,06-06,220.0
Kevin Brooks,1992.0,1994.0,F,06-06,200.0
MarShon Brooks,2012.0,2014.0,G-F,06-05,200.0
Michael Brooks,1981.0,1988.0,F,06-07,220.0
Scott Brooks,1989.0,1998.0,G,05-11,165.0
Andre Brown,2007.0,2009.0,F,06-09,245.0
Anthony Brown,2016.0,2017.0,F-G,06-07,210.0
Bob Brown,1949.0,1950.0,F,06-04,205.0
Bobby Brown,2009.0,2018.0,G,06-02,175.0
